,SBO,NETM,BL,B,G,E
Mo3AlC4,8.25552125,1.208329063,2.172355168,302.449,163.139,414.806
Mo3CoC4,8.62943275,1.038911813,2.139034687,316.02,133.981,351.79
Mo3CrC4,8.72954825,1.193386,2.146775363,328.144,164.982,423.746
Mo3CuC4,8.32028075,1.064366563,2.167238295,301.703,128.562,337.606
Mo3FeC4,8.71276375,1.044294188,2.137661814,326.709,134.878,355.187
Mo3HfC4,8.740335,1.216733938,2.219546912,305.957,183.448,458.631
Mo3MnC4,8.70606275,1.059956938,2.147463201,328.919,140.698,368.911
Mo3NiC4,8.50297875,1.034697875,2.147540032,310.78,110.855,396.846
Mo3ScC4,8.187329,1.21084325,2.224309086,292.481,191.425,471.394
Mo3TiC4,8.50370975,1.270393063,2.180498479,315.28,198.127,491.402
Mo3WC4,9.1858115,1.146036688,2.186717389,341.24,166.508,429.492
Mo3ZnC4,8.24871725,1.030184563,2.188724933,291.886,147.028,377.601
Mo3ZrC4,8.6559155,1.234822063,2.227479636,298.829,180.677,451.083
Mo2Al2C4,7.4862855,1.263576375,2.159722554,265.316,161.559,402.897
Mo2Co2C4,8.2341085,0.924741875,2.093081592,306.366,101.985,273.858
Mo2Cr2C4,8.4343395,1.23369025,2.108562944,325.196,163.231,419.377
Mo2Cu2C4,7.6158045,0.975651375,2.149488808,259.932,81.928,221.349
Mo2Fe2C4,8.4007705,0.935506625,2.090335846,267.818,103.052,272.883
Mo2Hf2C4,8.455913,1.280386125,2.254106043,281.128,193.043,471.23
Mo2Mn2C4,8.3873685,0.966832125,2.10993862,309.631,133.833,350.719
Mo2Ni2C4,7.9812005,0.916314,2.110092282,288.611,81.225,220.88
Mo2Sc2C4,7.349901,1.26860475,2.26363039,248.936,171.187,417.781
Mo2Ti2C4,7.9826625,1.387704375,2.176009176,297.246,203.792,497.626
Mo2W2C4,9.346866,1.138991625,2.188446996,349.241,169.028,436.463
Mo2Zn2C4,7.4726775,0.907287375,2.192462085,242.531,92.177,245.307
Mo2Zr2C4,8.287074,1.316562375,2.269971491,269.209,180.464,442.489
MoAl3C4,6.71704975,1.318823688,2.14708994,230.498,124.699,316.942
MoCo3C4,7.83878425,0.810571938,2.047128498,299.585,110.103,293.997
MoCr3C4,8.13913075,1.2739945,2.070350526,324.801,161.683,415.932
MoFe3C4,8.08877725,0.826719063,2.043009879,311.947,105.301,283.276
MoHf3C4,8.171491,1.344038313,2.288665174,259.504,189.104,456.437
MoMn3C4,8.06867425,0.873707313,2.07241404,272.474,90.619,243.627
MoNi3C4,7.45942225,0.797930125,2.072644532,263.749,58.365,113.408
MoSc3C4,6.512473,1.32636625,2.302951694,199.91,134.018,328.617
MoW3C4,9.5079205,1.131946563,2.190176603,357.373,168.961,437.64
MoZn3C4,6.69663775,0.784390188,2.196199236,190.796,60.875,165.06
MoZr3C4,7.9182325,1.398302688,2.312463345,243.77,173.571,420.829
Nb3CoC4,8.37680275,1.184481,2.181107641,291.62,171.83,430.87
Nb3CrC4,8.47691825,1.338955188,2.188848317,298.68,196.68,483.84
Nb3CuC4,8.06765075,1.20993575,2.209311248,273.9,146.94,373.96
Nb3FeC4,8.46013375,1.189863375,2.179734768,294.78,172.61,433.27
Nb3HfC4,8.487705,1.362303125,2.261619866,286.07,200.92,488.42
Nb3MnC4,8.45343275,1.205526125,2.189536155,295.3,184.12,457.32
Nb3MoC4,8.772127,1.298650938,2.227060735,307.23,188.08,468.61
Nb3NiC4,8.25034875,1.180267063,2.189612985,282.11,167.15,418.76
Nb3ScC4,7.934699,1.356412438,2.266382039,268.42,191.19,463.52
Nb3TaC4,8.79267375,1.321512,2.240665078,306.35,214.5,521.73
Nb3TiC4,8.25107975,1.41596225,2.222571432,290.95,202.09,492.29
Nb3VC4,8.4282955,1.38189775,2.200451434,296.56,215.27,519.99
Nb3WC4,8.9331815,1.291605875,2.228790342,316.22,191.19,477.36
Nb3YC4,7.976607,1.342384313,2.314824105,247.42,177.02,428.8
Nb3ZnC4,7.99608725,1.17575375,2.230797887,263.71,158.76,396.69
Nb3ZrC4,8.4032855,1.38039125,2.26955259,279.61,194.63,473.93
V3CoC4,7.59793825,1.28865225,2.059206783,302.14,168.87,427.04
V3CrC4,7.69805375,1.443126438,2.066947459,309.73,206.45,506.76
V3CuC4,7.28878625,1.314107,2.087410391,274.4,133.88,345.46
V3FeC4,7.68126925,1.294034625,2.05783391,309.4,169.6,430.19
V3HfC4,7.7088405,1.466474375,2.139719008,272.55,195.75,473.81
V3MnC4,7.67456825,1.309697375,2.067635297,310.1,188.37,469.95
